"logFC" "logCPM" "F" "PValue" "FDR"
"LOC105372632" -5.67825893399855 0.450094028502042 66.8075662243483 3.41057079281424e-06 0.000329220191258305
"SYNGR3" -7.57790691480459 4.89188254877496 98.6547399295926 3.41477694852112e-06 0.000329220191258305
"KIAA0040" 4.42974234234869 5.14987017194674 97.809247112302 3.42943872807871e-06 0.000329220191258305
"LINC01624" 8.87127013011755 2.52935999426998 61.6346531004976 3.44586445305748e-06 0.000329220191258305
"SLC1A3" -7.06263921484782 8.26257541799112 97.6259741690224 3.45754192963938e-06 0.000329220191258305
"CUZD1" 11.9088742687794 10.8258797092469 98.4442752739227 3.46443930153147e-06 0.000329220191258305
"RGS20" -7.28507277043163 2.7849518065565 88.1219256344788 3.46475329598757e-06 0.000329220191258305
"CCNI2" -3.85414091707765 3.47431100738177 97.6557287572465 3.47594178060031e-06 0.000329220191258305
"DUX4L50" -6.83640855607357 1.55867893952816 75.089802904604 3.48278524915249e-06 0.000329220191258305
"SYT11" -5.58955211174084 6.80919455037271 97.3346192821922 3.50054550170201e-06 0.000329220191258305
"TMEM59L" -6.66989130782851 6.61923612236395 97.1451608761758 3.53976070988199e-06 0.000329220191258305
"RAB3D" 3.06959738031127 5.90613418051168 97.0475387862771 3.54164294472644e-06 0.000329220191258305
"GABRA1" -14.4978894589308 4.95742786722577 117.149733333463 3.55079947512283e-06 0.000329220191258305
"LANCL3" -5.32707350584255 1.56684006203811 69.8037638947556 3.56130800840977e-06 0.000329220191258305
"KIF3C" -5.31928330675359 5.77443571216745 96.9635261394945 3.56146597304513e-06 0.000329220191258305
"SND1" 3.00103339649667 7.62444315274856 96.5794941330436 3.61464254700638e-06 0.000332793897149081
"AEN" 3.07051756887105 4.42531820197235 96.0558317961181 3.70080649385629e-06 0.000339194961773825
"TMEM97" 3.06257185634855 5.8106449789441 95.8641711962121 3.72984386990097e-06 0.000339194961773825
